Wall time,Step,Value
1730034614.2668238,1,0.15297053754329681
1730038694.7457628,2,0.1394818127155304
1730042707.406837,3,0.13706819713115692
1730046696.8253906,4,0.13612191379070282
1730050668.7090244,5,0.1355663239955902
1730054618.5223713,6,0.13555318117141724
1730058560.5178938,7,0.13504008948802948
1730062478.0793266,8,0.13497774302959442
1730066318.3365204,9,0.1347508430480957
1730070157.9597285,10,0.13481847941875458
1730073965.523066,11,0.13485300540924072
1730077829.5316954,12,0.13500642776489258
1730081687.526355,13,0.12843741476535797
1730085557.4923358,14,0.12752096354961395
1730089423.4713962,15,0.12721920013427734
1730093289.7383966,16,0.12718109786510468
1730097153.9201393,17,0.12712158262729645
1730101020.2620587,18,0.127094566822052
1730104886.5495918,19,0.12712065875530243
1730108753.5191755,20,0.12720131874084473
